Year,s_commodity,s_production,s_subsidy,s_prod_adjust,s_size,s_yield,s_surplus,s_consumption
1984,Hardwood,,,,,NA,NA,NA
1985,Hardwood,,,,,NA,NA,NA
1986,Hardwood,,,,,NA,NA,NA
1987,Hardwood,,,,,NA,NA,NA
1988,Hardwood,,,,,NA,NA,NA
1989,Hardwood,,,,,NA,NA,NA
1990,Hardwood,,,,,NA,NA,NA
1991,Hardwood,,,,,NA,NA,NA
1992,Hardwood,,,,,NA,NA,NA
1993,Hardwood,,,,,NA,NA,NA
1994,Hardwood,,,,,NA,NA,NA
1995,Hardwood,,,,,NA,NA,NA
1996,Hardwood,,,,,NA,NA,NA
1997,Hardwood,,,,,NA,NA,NA
1998,Hardwood,,,,,NA,NA,NA
1999,Hardwood,,,,,NA,NA,NA
2000,Hardwood,,,,,NA,NA,NA
2001,Hardwood,,,,,NA,NA,NA
2002,Hardwood,,,,,NA,NA,NA
2003,Hardwood,,,,,NA,NA,NA
2004,Hardwood,,,,,NA,NA,NA
2005,Hardwood,,,,,NA,NA,NA
2006,Hardwood,,,,,NA,NA,NA
2007,Hardwood,,,,,NA,NA,NA
2008,Hardwood,,,,,NA,NA,NA
2009,Hardwood,,,,,NA,NA,NA
2010,Hardwood,2782,NA,1,1,22.84,0.594,4684.663296
2011,Hardwood,2636,NA,1,1,20.37,0.566,4653.132766
2012,Hardwood,2519,NA,1,1,20.27,0.546,4615.060433
2013,Hardwood,2656,NA,1,1,22.74,0.539,4925.806627
2014,Hardwood,2758,NA,1,1,23.58,0.558,4939.571276
2015,Hardwood,2780,NA,1,1,22.46,0.553,5026.667022
2016,Hardwood,2591,NA,1,1,22.85,0.539,4804.999877
2017,Hardwood,2699,NA,1,1,22.89,0.568,4753.247358
2018,Hardwood,2468,NA,1,1,21.14,0.538,4590.653217
2019,Hardwood,2524,NA,1,1,21.89,0.533,4736.555762
2020,Hardwood,2599,NA,1,1,21.84,0.553,4703.835488
